FIU,Florida International
LEH,Lehigh
LCHI,Loyola Chicago
FDU,Fairleigh Dickinson
UALR,Little Rock
SDSU,San Diego State
VMI,VMI
AMCC,Texas A&M-Corpus Christi
SFU,Saint Francis (PA)
SCST,South Carolina State
SOU,Southern
SC,South Carolina
COPP,Coppin State
LAF,Lafayette
BRAD,Bradley
BUFF,Buffalo
NDSU,North Dakota State
LAM,Lamar
ALST,Alabama State
WAG,Wagner
UGA,Georgia
SIUE,SIU-Edwardsville
SIU,Southern Ill.
FAMU,Florida A&M
CSB,Cal State Bakersfield
UNO,New Orleans
UNM,New Mexico
ARK,Arkansas
FRES,Fresno State
UK,Kentucky
EVAN,Evansville
CCU,Coastal Carolina
FLA,Florida
TXSO,Texas Southern
SFNY,St. Francis (NY)
DEN,Denver
SDST,South Dakota State
TENN,Tennessee
GAST,Georgia State
PEAY,Austin Peay
MER,Mercer
JVST,Jacksonville State
IPFW,Fort Wayne
MCNS,McNeese State
TNTC,Tennessee Tech
WCU,Western Carolina
UTA,Texas-Arlington
L-MD,Loyola (MD)
PAC,Pacific
PORT,Portland
MSST,Mississippi State
UTAH,Utah
USU,Utah State
ORE,Oregon
ETSU,East Tenn. St.
WASH,Washington
NCCU,NC Central
MVSU,Mississippi Valley State
RMU,Robert Morris
AFA,Air Force
KENT,Kent State
HBU,Houston Baptist
GASO,Georgia Southern
MORG,Morgan State
ACU,Abilene Christian
SFA,Stephen F. Austin
IUPU,IUPUI
COLO,Colorado
MSM,Mount St. Mary's
GRAM,Grambling
AUB,Auburn
BU,Boston University
TXST,Texas State
HOW,Howard
AAMU,Alabama A&M
UMES,UMES
SHSU,Sam Houston State
OMA,Omaha
CSU,Colorado State
TROY,Troy
NSU,Norfolk State
MORE,Morehead State
SCU,Santa Clara
ARIZ,Arizona
SF,San Francisco
MIZ,Missouri
UCA,Central Arkansas
UMKC,UMKC
STAN,Stateanford
LMU,Loyola Marymount
BCU,Bethune-Cookman
LSU,LSU
ORST,Oregon State
WMU,Western Michigan
ULM,Louisiana-Monroe
CHAT,Chattanooga
BUCK,Bucknell
NEV,Nevada
GCU,Grand Canyon
USC,USC
MISS,Ole Miss
SDAK,South Dakota
NIU,Northern Illinois
VAN,Vanderbilt
EIU,Eastern Illinois
CMU,Central Michigan
TAMU,Texas A&M
UNI,Northern Iowa
SMC,Saint Mary's
JKST,Jackson State
ILST,Illinois State
UTM,UT-Martin
M-OH,Miami (OH)
BSU,Boise State
EKY,Eastern Kentucky
FUR,Furman
WYO,Wyoming
LIU,LIU-Brooklyn
MURR,Murray State
PV,Prairie View
DRKE,Drake
GONZ,Gonzaga
SELA,Southeastern Louisiana
BRY,Bryant
TNST,Tennessee State
ALCN,Alcorn State
INST,Indiana State
BGSU,Bowling Green
UCLA,UCLA
APP,Appalachian State
ALA,Alabama
OHIO,Ohio
NMSU,New Mexico State
USD,San Diego
AKR,Akron
UNLV,UNLV
HC,Holy Cross
CHS,Chicago State
TOL,Toledo
BALL,Ball State
NICH,Nicholls State
ARST,Arkansas State
EMU,Eastern Michigan
MOST,Missouri State
SEA,Seattle
SAV,Savannah State
WSU,Washington State
ARMY,Army West Point
PEPP,Pepperdine
BEL,Belmont
ULL,Louisiana
WIU,Western Illinois
SAM,Samford
WICH,Wichita State
NCAT,North Carolina A&T
UNC,UNC
TCU,TCU
ALAB,Alabama-Birmingham
MES,Maryland-Eastern Shore
NCCU,North Carolina Central
CBL,California Baptist
UNA,North Alabama
UML,UMass-Lowell
STAN,Stanford
